aired_at,duration,client_name,channel_name,city_name,campaign_name,brand_name,video_path,thumbnail_path
2015-12-02T01:54:22:000000Z,10.00,"India News 360",IBN7,UP,"India News 360","India News 360",http://amagicloud.s3.amazonaws.com/archive/2015-12-02/IB/KP/81CQJTQ6OLGH_072422_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-02/IB/KP/81CQJTQ6OLGH_072422_10.jpg
2015-12-08T12:40:07:000000Z,10.00,"Nova Dairy","Zee News",MPCG,"Nova Dairy","Nova Dairy",http://amagicloud.s3.amazonaws.com/archive/2015-12-08/ZN/BH/4DNF4ID3PYXW_181007_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-08/ZN/BH/4DNF4ID3PYXW_181007_10.jpg
2015-12-09T09:22:08:000000Z,10.00,"Ascent Meditech Limited","Zee Cinema",DTH,"Ascent Meditech",Flamingo,http://amagicloud.s3.amazonaws.com/archive/2015-12-09/ZC/MA/5LSP5VY3JPLC_145208_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-09/ZC/MA/5LSP5VY3JPLC_145208_10.jpg
2015-12-17T12:01:52:000000Z,30.00,"Dollar Industries","Zee Cinema",DTH,"Dollar Industries",Dollar,http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZC/MA/5GMM9Z9W38XJ_173152_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZC/MA/5GMM9Z9W38XJ_173152_30.jpg
2015-12-17T11:26:51:000000Z,15.00,"Hindustan Unilever Limited","Zee TV","Madhya Pradesh","HUL_Vim Bar","Vim Bar",http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZT/BH/8CYE6DWBNCOC_165651_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZT/BH/8CYE6DWBNCOC_165651_15.jpg
2015-12-09T08:23:32:000000Z,10.00,"Lucknow Gramudyog Sansthan","Zee News",Bihar,"Guide Detergent","Guide Detergent",http://amagicloud.s3.amazonaws.com/archive/2015-12-09/ZN/PT/49HBY6NTN7Z2_135332_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-09/ZN/PT/49HBY6NTN7Z2_135332_10.jpg
2015-12-05T09:21:48:000000Z,10.00,"Mantora Oil Products Ltd.",IBN7,"Uttar Pradesh","Bawarchi Oil","Bawarchi Sarnso Active Oil",http://amagicloud.s3.amazonaws.com/archive/2015-12-05/IB/KP/7X91251LQM33_145148_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-05/IB/KP/7X91251LQM33_145148_10.jpg
2015-12-05T06:57:16:000000Z,10.00,"LOreal India Pvt. Ltd.","Zee TV",Maharashtra,"LP_Range Sachet","LOREAL PARIS",http://amagicloud.s3.amazonaws.com/archive/2015-12-05/ZT/MU/7LQX8MRS8VMA_122716_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-05/ZT/MU/7LQX8MRS8VMA_122716_10.jpg
2015-12-21T11:53:21:000000Z,30.00,"Idea Cellular Limited",IBN7,Delhi,"Idea Cellular",IDEA,http://amagicloud.s3.amazonaws.com/archive/2015-12-21/IB/DL/3CW2B5DV2MDK_172321_30.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-21/IB/DL/3CW2B5DV2MDK_172321_30.jpg
2015-12-20T02:56:14:000000Z,5.00,"Amagi Media Labs Pvt Ltd","Zee News",DTH,"New Amagi Filler",Amagi,http://amagicloud.s3.amazonaws.com/archive/2015-12-20/ZN/MA/3S0NFS6GRX6N_082614_5.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-20/ZN/MA/3S0NFS6GRX6N_082614_5.jpg
